index,text,text_snippet,ground_truth_signal,finbert_signal,our_signal,finbert_sentiment,finbert_confidence,our_confidence,our_prediction,our_volatility,our_score,our_explanation,case_type
110,"And we're ranked as the survey's top-performing U.S. based food retailer.Shared value is an important concept and something that we have fully embraced as we think about how to best allocate our time and capital, deliver strong efficient growth, reduce costs and operate with discipline.",And we're ranked as the survey's top-performing U.S. based food retailer.Shared value is an important concept and something that we have fully embraced as we think about how to ...,growth,growth,neutral,positive,76.746,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(ANALYST) And we're ranked as the survey's top-performing U. S. based food retailer. Shared value is an important concept and something t...",finbert_correct_ours_wrong
113,Capital expenditures were approximately $69 million for the quarter compared to approximately $51 million in the fourth quarter last year.,Capital expenditures were approximately $69 million for the quarter compared to approximately $51 million in the fourth quarter last year.,neutral,risk,neutral,negative,92.4777,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(EXECUTIVE) Capital expenditures were approximately $69 million for the quarter compared to approximately $51 million in the fourth quarter...",ours_correct_finbert_wrong
115,"What I think one of the things that we were very pleased to see is that it was the surge was both in the year for the year as well as for all future periods, which was always very encouraging.MMichael BellisarioRobert W. BairdThat's helpful.","What I think one of the things that we were very pleased to see is that it was the surge was both in the year for the year as well as for all future periods, which was always ve...",neutral,growth,neutral,positive,70.9699,50.0,NEUTRAL,MEDIUM,46,"Signal=neutral, dominant_intent=STRATEGIC_PROBING, counts={'STRATEGIC_PROBING': 1, 'GENERAL_UPDATE': 1}, first_segment=(ANALYST) What I think one of the things that we were very pleased to see is that it was the surge was both in the year for the year as w...",ours_correct_finbert_wrong
120,Private brand penetration and grocery categories increased nearly 110 basis points in Q1 following a 160 basis points increase in Q4 and 130 basis point increase in Q3.E-commerce sales were led by continued double-digit growth and store fulfilled pickup and delivery.,Private brand penetration and grocery categories increased nearly 110 basis points in Q1 following a 160 basis points increase in Q4 and 130 basis point increase in Q3.E-commerc...,growth,growth,neutral,positive,95.5382,100.0,UP,LOW,43,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 2}, first_segment=(EXECUTIVE) Private brand penetration and grocery categories increased nearly 110 basis points in Q1 following a 160 basis points increase ...",finbert_correct_ours_wrong
123,"And therefore, I would say that we are also seeing there an increase even in the year '23.So overall, next to NII a pretty diversified revenue stream.","And therefore, I would say that we are also seeing there an increase even in the year '23.So overall, next to NII a pretty diversified revenue stream.",growth,growth,neutral,positive,91.0223,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(CEO) And therefore, I would say that we are also seeing there an increase even in the year '23. So overall, next to NII a pretty div...",finbert_correct_ours_wrong
125,"Operating revenues, net of funding and liquidity charges, were close to 0.","Operating revenues, net of funding and liquidity charges, were close to 0.",neutral,growth,neutral,positive,58.8926,100.0,NEUTRAL,LOW,45,"Signal=neutral, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1}, first_segment=(CEO) Operating revenues, net of funding and liquidity charges, were close to 0.",ours_correct_finbert_wrong
126,"In addition to this, we are seeing many consolidation opportunities as clients look to reduce their cost.","In addition to this, we are seeing many consolidation opportunities as clients look to reduce their cost.",risk,growth,neutral,positive,93.8578,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(CFO) In addition to this, we are seeing many consolidation opportunities as clients look to reduce their cost.",disagreement_other
127,"Notably, this includes our new multiyear project to increase our distribution capabilities to support our future volume and growth and increased square footage growth relative to last year.","Notably, this includes our new multiyear project to increase our distribution capabilities to support our future volume and growth and increased square footage growth relative t...",growth,growth,neutral,positive,95.1193,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(CEO) Notably, this includes our new multiyear project to increase our distribution capabilities to support our future volume and gro...",finbert_correct_ours_wrong
132,"What we’re seeing is that Rome has a set of very strong coverage in terms of applications that they’re in, that are ramping very nicely, that are having good demand.","What we’re seeing is that Rome has a set of very strong coverage in terms of applications that they’re in, that are ramping very nicely, that are having good demand.",growth,growth,neutral,positive,92.5635,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(ANALYST) What we’re seeing is that Rome has a set of very strong coverage in terms of applications that they’re in, that are ramping ver...",finbert_correct_ours_wrong
134,"So in Q4, we are expecting to see additional investments in our work and our growth and also some modest increased T&E expectations.","So in Q4, we are expecting to see additional investments in our work and our growth and also some modest increased T&E expectations.",growth,growth,neutral,positive,94.8939,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(CEO) So in Q4, we are expecting to see additional investments in our work and our growth and also some modest increased T&E expectat...",finbert_correct_ours_wrong
137,"We saw a year-on-year increase of roughly EUR 400 million in CFFO, in line with the H1 evolution.","We saw a year-on-year increase of roughly EUR 400 million in CFFO, in line with the H1 evolution.",growth,growth,neutral,positive,94.5379,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(EXECUTIVE) We saw a year-on-year increase of roughly EUR 400 million in CFFO, in line with the H1 evolution.",finbert_correct_ours_wrong
143,"Adjusted costs, excluding transformation charges, declined by 10%.","Adjusted costs, excluding transformation charges, declined by 10%.",risk,risk,neutral,negative,70.3511,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(CFO) Adjusted costs, excluding transformation charges, declined by 10%.",finbert_correct_ours_wrong
147,"So for CPI, in the quarter, the underlying CPI that we have used for the NII was 13%, and it seems like BBVA Research just upgraded, increased its inflation expectation for the year to 15%, so for the coming quarter and quarters, we will increase the contribution from CPIs.","So for CPI, in the quarter, the underlying CPI that we have used for the NII was 13%, and it seems like BBVA Research just upgraded, increased its inflation expectation for the ...",growth,growth,neutral,positive,93.4204,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(EXECUTIVE) So for CPI, in the quarter, the underlying CPI that we have used for the NII was 13%, and it seems like BBVA Research just upgr...",finbert_correct_ours_wrong
149,Orders for DI at EUR 4.5 billion in total were up compared to Q3 for fiscal '23 and increased 21% year-over-year.,Orders for DI at EUR 4.5 billion in total were up compared to Q3 for fiscal '23 and increased 21% year-over-year.,growth,growth,neutral,positive,95.914,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(EXECUTIVE) Orders for DI at EUR 4. 5 billion in total were up compared to Q3 for fiscal '23 and increased 21% year-over-year.",finbert_correct_ours_wrong
150,"Third, volume-related expenses in line with our revenue expectations.","Third, volume-related expenses in line with our revenue expectations.",risk,risk,neutral,negative,64.756,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(CFO) Third, volume-related expenses in line with our revenue expectations.",finbert_correct_ours_wrong
151,"Non-COVID cost tracking -- I'm sorry, COVID came in slightly higher than expected with non-COVID tracking slightly better than expected.","Non-COVID cost tracking -- I'm sorry, COVID came in slightly higher than expected with non-COVID tracking slightly better than expected.",risk,growth,neutral,positive,94.2309,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(CFO) Non-COVID cost tracking -- I'm sorry, COVID came in slightly higher than expected with non-COVID tracking slightly better than ...",disagreement_other
153,"I'm sure you remember last year when heading into COVID, our men's business was leading growth over women's.And then with the shutting of our stores and other shifts that were happening as a result, we saw that business well both in the industry as well as with ourselves, even though we are putting on market share.","I'm sure you remember last year when heading into COVID, our men's business was leading growth over women's.And then with the shutting of our stores and other shifts that were h...",growth,growth,neutral,positive,68.576,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(CEO) I'm sure you remember last year when heading into COVID, our men's business was leading growth over women's. And then with the ...",finbert_correct_ours_wrong
154,"With noninterest expenses up 6%, operating leverage in this business was 24% in the first half of 2023.","With noninterest expenses up 6%, operating leverage in this business was 24% in the first half of 2023.",risk,growth,neutral,positive,93.5412,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(CFO) With noninterest expenses up 6%, operating leverage in this business was 24% in the first half of 2023.",disagreement_other
155,Growth in mortgage and commercial loans more than offset the continued margin pressure on deposit revenues.,Growth in mortgage and commercial loans more than offset the continued margin pressure on deposit revenues.,growth,growth,neutral,positive,95.1494,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(CFO) Growth in mortgage and commercial loans more than offset the continued margin pressure on deposit revenues.",finbert_correct_ours_wrong
157,"The Investment Bank benefited from the before-mentioned recovery in revenues, combined with ongoing cost reductions.","The Investment Bank benefited from the before-mentioned recovery in revenues, combined with ongoing cost reductions.",risk,growth,neutral,positive,95.6915,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(CFO) The Investment Bank benefited from the before-mentioned recovery in revenues, combined with ongoing cost reductions.",disagreement_other
158,"Loans and leverage exposure increased versus last year driven in part by the higher client drawdowns in the first quarter.Revenues in Fixed Income Sales & Trading increased by 46% year-on-year, excluding specific items, as shown on Slide 21.",Loans and leverage exposure increased versus last year driven in part by the higher client drawdowns in the first quarter.Revenues in Fixed Income Sales & Trading increased by 4...,growth,growth,neutral,positive,96.1589,100.0,UP,LOW,43,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 2}, first_segment=(EXECUTIVE) Loans and leverage exposure increased versus last year driven in part by the higher client drawdowns in the first quarter.",finbert_correct_ours_wrong
159,"And what really stands out to me, Marc, is the strength of our core organic CRM business.","And what really stands out to me, Marc, is the strength of our core organic CRM business.",neutral,growth,neutral,positive,58.3737,100.0,NEUTRAL,LOW,46,"Signal=neutral, dominant_intent=STRATEGIC_PROBING, counts={'STRATEGIC_PROBING': 1}, first_segment=(ANALYST) And what really stands out to me, Marc, is the strength of our core organic CRM business.",ours_correct_finbert_wrong
162,"And lastly, we are strengthening our commitment to sustainability, helping our clients transition towards a more sustainable future, using this also as a business opportunity, business opportunity.","And lastly, we are strengthening our commitment to sustainability, helping our clients transition towards a more sustainable future, using this also as a business opportunity, b...",neutral,growth,neutral,positive,87.7301,100.0,NEUTRAL,LOW,45,"Signal=neutral, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1}, first_segment=(EXECUTIVE) And lastly, we are strengthening our commitment to sustainability, helping our clients transition towards a more sustainable fu...",ours_correct_finbert_wrong
163,And 142 bps increase in our capital ratio.,And 142 bps increase in our capital ratio.,growth,growth,neutral,positive,95.1699,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(EXECUTIVE) And 142 bps increase in our capital ratio.",finbert_correct_ours_wrong
164,It's a huge advantage and I think we're leveraging that.,It's a huge advantage and I think we're leveraging that.,neutral,growth,neutral,positive,83.8829,100.0,NEUTRAL,LOW,45,"Signal=neutral, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1}, first_segment=(EXECUTIVE) It's a huge advantage and I think we're leveraging that.",ours_correct_finbert_wrong
165,"But John, I think you said, ""But overall, our total cost was higher than expectations.""","But John, I think you said, ""But overall, our total cost was higher than expectations.""",risk,growth,neutral,positive,92.1381,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(CFO) But John, I think you said, ""But overall, our total cost was higher than expectations. "".",disagreement_other
167,"And so as we look at things in total, we see a higher cost structure in general.","And so as we look at things in total, we see a higher cost structure in general.",risk,growth,neutral,positive,48.7992,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(CFO) And so as we look at things in total, we see a higher cost structure in general.",disagreement_other
171,"Operating income was up 20% from a year ago to $1.3 billion, driven by revenue growth and higher gross margin.Operating margin was 23%, compared to 24% a year ago, due to higher operating expenses.","Operating income was up 20% from a year ago to $1.3 billion, driven by revenue growth and higher gross margin.Operating margin was 23%, compared to 24% a year ago, due to higher...",growth,growth,neutral,positive,95.8802,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(CFO) Operating income was up 20% from a year ago to $1. 3 billion, driven by revenue growth and higher gross margin. Operating margi...",finbert_correct_ours_wrong
172,"And indeed, as we look forward, Jason called out the unit growth, but we are also guiding to consistent market dynamics for the upcoming year as well.","And indeed, as we look forward, Jason called out the unit growth, but we are also guiding to consistent market dynamics for the upcoming year as well.",growth,growth,neutral,positive,91.0993,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(CEO) And indeed, as we look forward, Jason called out the unit growth, but we are also guiding to consistent market dynamics for the...",finbert_correct_ours_wrong
175,And whether you still think the 8% margin target for 2021 is feasible here because it's quite a step-up from the current run rate.,And whether you still think the 8% margin target for 2021 is feasible here because it's quite a step-up from the current run rate.,neutral,growth,neutral,positive,89.6338,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(CFO) And whether you still think the 8% margin target for 2021 is feasible here because it's quite a step-up from the current run rate.",ours_correct_finbert_wrong
178,These expenses were partially offset by productivity savings as well as the benefit from foreign exchange translation and the expense reduction from the exit market.,These expenses were partially offset by productivity savings as well as the benefit from foreign exchange translation and the expense reduction from the exit market.,risk,growth,neutral,positive,94.9825,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(CFO) These expenses were partially offset by productivity savings as well as the benefit from foreign exchange translation and the e...",disagreement_other
180,"In the second quarter, RWAs remained broadly flat as reductions from operational risk and other impacts were offset by market risk increases as financial markets became significantly more volatile.Looking through to the remainder of 2022, we are confident of achieving the full-year target for adjusted costs excluding transformation charges of €800 million that we reaffirmed at the Investor Deep Dive in 2022.","In the second quarter, RWAs remained broadly flat as reductions from operational risk and other impacts were offset by market risk increases as financial markets became signific...",growth,growth,neutral,positive,95.143,50.0,VOLATILE,HIGH,47,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1, 'COST_PRESSURE': 1}, first_segment=(CEO) In the second quarter, RWAs remained broadly flat as reductions from operational risk and other impacts were offset by market r...",finbert_correct_ours_wrong
181,"This transformation is fueled by the continued expansion of our digital platform, which improves connections across the health care system while leveraging the industry's largest data sets to drive actionable insights in pursuit of better health.In the second quarter, Anthem produced strong membership growth, won significant new contracts in our Government Business and continued to integrate and expand our digital platform.","This transformation is fueled by the continued expansion of our digital platform, which improves connections across the health care system while leveraging the industry's larges...",growth,growth,neutral,positive,94.2734,100.0,UP,LOW,43,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 2}, first_segment=(CEO) This transformation is fueled by the continued expansion of our digital platform, which improves connections across the health ...",finbert_correct_ours_wrong
182,"Now at a comfortable capital buffer, the company is looking at potentials for increased business deployment and significant distribution increase possibilities.","Now at a comfortable capital buffer, the company is looking at potentials for increased business deployment and significant distribution increase possibilities.",growth,growth,neutral,positive,93.9151,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(EXECUTIVE) Now at a comfortable capital buffer, the company is looking at potentials for increased business deployment and significant dis...",finbert_correct_ours_wrong
183,"And the process automation, and looking at the WhatsApp, it's a good example, ways that we can service customers, reducing the marginal costs, and certainly being more efficient in this process.The next page, we bring the core capital.","And the process automation, and looking at the WhatsApp, it's a good example, ways that we can service customers, reducing the marginal costs, and certainly being more efficient...",risk,growth,neutral,positive,50.7866,50.0,NEUTRAL,MEDIUM,46,"Signal=neutral, dominant_intent=STRATEGIC_PROBING, counts={'STRATEGIC_PROBING': 1, 'GENERAL_UPDATE': 1}, first_segment=(ANALYST) And the process automation, and looking at the WhatsApp, it's a good example, ways that we can service customers, reducing the ...",disagreement_other
185,"As a result of the remarkable commitment and mobilization of all our teams in all areas of the group and in all countries in order to stimulate the demand for our brands and our products, L'Oréal has continued to outperform the beauty market, which is still on the road to recovery.",As a result of the remarkable commitment and mobilization of all our teams in all areas of the group and in all countries in order to stimulate the demand for our brands and our...,growth,growth,neutral,positive,95.9802,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(CEO) As a result of the remarkable commitment and mobilization of all our teams in all areas of the group and in all countries in or...",finbert_correct_ours_wrong
187,"Carelon Services had a strong second quarter, led by organic growth in Carelon post-acute management.Turning to our balance sheet, we ended the second quarter with a debt to capital ratio of 39.6%, in line with our expectations and consistent with our target range.","Carelon Services had a strong second quarter, led by organic growth in Carelon post-acute management.Turning to our balance sheet, we ended the second quarter with a debt to cap...",growth,growth,neutral,positive,94.4303,50.0,UP,MEDIUM,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1, 'GENERAL_UPDATE': 1}, first_segment=(CFO) Carelon Services had a strong second quarter, led by organic growth in Carelon post-acute management. Turning to our balance sh...",finbert_correct_ours_wrong
192,"So the market for the second quarter will be impacted by this weakness in the western world and on the opposite, by, we think, a strong growth on the Chinese part.","So the market for the second quarter will be impacted by this weakness in the western world and on the opposite, by, we think, a strong growth on the Chinese part.",growth,risk,neutral,negative,45.5628,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(CEO) So the market for the second quarter will be impacted by this weakness in the western world and on the opposite, by, we think, ...",disagreement_other
193,Global demand for travel has remained strong and worldwide RevPAR in the quarter rose 9% versus 2022.,Global demand for travel has remained strong and worldwide RevPAR in the quarter rose 9% versus 2022.,growth,growth,neutral,positive,95.831,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(EXECUTIVE) Global demand for travel has remained strong and worldwide RevPAR in the quarter rose 9% versus 2022.",finbert_correct_ours_wrong
195,"This growth was supported by the strong performance in Wealth Management, where strategic hiring in prior periods has started to pay off.","This growth was supported by the strong performance in Wealth Management, where strategic hiring in prior periods has started to pay off.",growth,growth,neutral,positive,95.8859,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(CEO) This growth was supported by the strong performance in Wealth Management, where strategic hiring in prior periods has started t...",finbert_correct_ours_wrong
198,So we're always in this for the long-term and working with our supply chain partners as well as our customers to ensure that we find a way to kind of share the additional costs.,So we're always in this for the long-term and working with our supply chain partners as well as our customers to ensure that we find a way to kind of share the additional costs.,risk,growth,neutral,positive,64.1466,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(CFO) So we're always in this for the long-term and working with our supply chain partners as well as our customers to ensure that we...",disagreement_other
199,Adjusted costs were a little under EUR 5.5 billion in the quarter and declined by approximately 1% or EUR 60 million year-over-year.,Adjusted costs were a little under EUR 5.5 billion in the quarter and declined by approximately 1% or EUR 60 million year-over-year.,risk,risk,neutral,negative,97.6078,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(CFO) Adjusted costs were a little under EUR 5. 5 billion in the quarter and declined by approximately 1% or EUR 60 million year-over...",finbert_correct_ours_wrong
201,"Maybe I'll say that from my side also, Martin, and I think that is, I mean, a very important opportunity that we have now also to look through our allocation of the different lines in the P&L moving forward because this gives also opportunity to be more offensive in certain areas and still keep, so to speak, a high level of cost discipline and that good execution and volume flexibility that we have seen.","Maybe I'll say that from my side also, Martin, and I think that is, I mean, a very important opportunity that we have now also to look through our allocation of the different li...",risk,growth,neutral,positive,58.9108,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(CFO) Maybe I'll say that from my side also, Martin, and I think that is, I mean, a very important opportunity that we have now also ...",disagreement_other
202,We also achieved a reduction in professional service fees as we continue to internalize the -- in the external workforce and we achieved further reductions in categories such as travel and marketing expenses.,We also achieved a reduction in professional service fees as we continue to internalize the -- in the external workforce and we achieved further reductions in categories such as...,risk,growth,neutral,positive,84.4529,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(CFO) We also achieved a reduction in professional service fees as we continue to internalize the -- in the external workforce and we...",disagreement_other
203,"You're going to see strength in ELA as [Indiscernible] and I spoke of in terms of Q4, just to see the expansion in Q3 as well.","You're going to see strength in ELA as [Indiscernible] and I spoke of in terms of Q4, just to see the expansion in Q3 as well.",growth,growth,neutral,positive,67.802,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(CEO) You're going to see strength in ELA as [Indiscernible] and I spoke of in terms of Q4, just to see the expansion in Q3 as well.",finbert_correct_ours_wrong
204,"We did continue to see growth in IMF from our luxury hotels, but the biggest chunk of growth came from those premium hotels.","We did continue to see growth in IMF from our luxury hotels, but the biggest chunk of growth came from those premium hotels.",growth,growth,neutral,positive,89.7789,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(CEO) We did continue to see growth in IMF from our luxury hotels, but the biggest chunk of growth came from those premium hotels.",finbert_correct_ours_wrong
205,"And with the renewed public health emergency from the Biden administration on yesterday, we still feel very good about that time line.With that said, we continue to work very closely with our state partners and our members, helping them understand reverifications, what it means.","And with the renewed public health emergency from the Biden administration on yesterday, we still feel very good about that time line.With that said, we continue to work very cl...",neutral,growth,neutral,positive,67.5282,50.0,NEUTRAL,MEDIUM,46,"Signal=neutral, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1, 'STRATEGIC_PROBING': 1}, first_segment=(EXECUTIVE) And with the renewed public health emergency from the Biden administration on yesterday, we still feel very good about that tim...",ours_correct_finbert_wrong
206,"Annual highlights include record bookings of $81 billion (a 14% increase in local currency), with significant gains in digital transformation and GenAI projects.","Annual highlights include record bookings of $81 billion (a 14% increase in local currency), with significant gains in digital transformation and GenAI projects.",growth,growth,neutral,positive,94.2808,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(EXECUTIVE) Annual highlights include record bookings of $81 billion (a 14% increase in local currency), with significant gains in digital ...",finbert_correct_ours_wrong
207,"Here, the United States again stood out with impressive 22% growth.","Here, the United States again stood out with impressive 22% growth.",growth,growth,neutral,positive,95.2292,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(CEO) Here, the United States again stood out with impressive 22% growth.",finbert_correct_ours_wrong
208,"Also the extra cost in production connected to what we call then the marginal trucks, that has also been sort of increasing as we have been moving along throughout the quarter or throughout the year.","Also the extra cost in production connected to what we call then the marginal trucks, that has also been sort of increasing as we have been moving along throughout the quarter o...",risk,growth,neutral,positive,43.9681,100.0,NEUTRAL,LOW,46,"Signal=neutral, dominant_intent=STRATEGIC_PROBING, counts={'STRATEGIC_PROBING': 1}, first_segment=(ANALYST) Also the extra cost in production connected to what we call then the marginal trucks, that has also been sort of increasing as ...",disagreement_other
213,"And for the full year, revenue grew 42% versus 2020 and 25% on a 2-year CAGR basis, an impressive performance by any benchmark with strength across our products, channels and geographies.","And for the full year, revenue grew 42% versus 2020 and 25% on a 2-year CAGR basis, an impressive performance by any benchmark with strength across our products, channels and ge...",neutral,growth,neutral,positive,95.6414,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(CEO) And for the full year, revenue grew 42% versus 2020 and 25% on a 2-year CAGR basis, an impressive performance by any benchmark ...",ours_correct_finbert_wrong
214,"I think that was our expectation was that as the product portfolio expands, as we increase supply, as we ramp more instances across the customer set that we would see share gains.","I think that was our expectation was that as the product portfolio expands, as we increase supply, as we ramp more instances across the customer set that we would see share gains.",growth,growth,neutral,positive,94.6848,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(CEO) I think that was our expectation was that as the product portfolio expands, as we increase supply, as we ramp more instances ac...",finbert_correct_ours_wrong
217,"We continue to see steady growth from social content creators using Premiere Rush, which saw a 75% increase in monthly active users quarter-over-quarter.","We continue to see steady growth from social content creators using Premiere Rush, which saw a 75% increase in monthly active users quarter-over-quarter.",growth,growth,neutral,positive,95.404,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(CEO) We continue to see steady growth from social content creators using Premiere Rush, which saw a 75% increase in monthly active u...",finbert_correct_ours_wrong
218,We'll continue to focus on our performance execution in order to drive growth and create a better health care experience for everyone we serve.,We'll continue to focus on our performance execution in order to drive growth and create a better health care experience for everyone we serve.,growth,growth,neutral,positive,87.6764,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(CEO) We'll continue to focus on our performance execution in order to drive growth and create a better health care experience for ev...",finbert_correct_ours_wrong
220,"We're effectively investing those fees and the duration of the customer base, the length of customer base, the profitability of the customer base, the stability of the customer base and the fact that then we can net produce a lot more customers because we're not having to replace a runoff.And so as you see so many fee lines, same with [NSS FOD] by doing what we've done the attrition rate has obviously dropped to the floor and you're seeing more production of that accounts there.","We're effectively investing those fees and the duration of the customer base, the length of customer base, the profitability of the customer base, the stability of the customer ...",neutral,risk,neutral,negative,82.784,50.0,NEUTRAL,MEDIUM,46,"Signal=neutral, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1, 'STRATEGIC_PROBING': 1}, first_segment=(EXECUTIVE) We're effectively investing those fees and the duration of the customer base, the length of customer base, the profitability of...",ours_correct_finbert_wrong
222,"And in this regard, good preparedness, high level of attention on the corporate side, and in my view a first class portfolio on the Deutsche Bank side, and that makes me confident.","And in this regard, good preparedness, high level of attention on the corporate side, and in my view a first class portfolio on the Deutsche Bank side, and that makes me confident.",neutral,growth,neutral,positive,76.4111,100.0,NEUTRAL,LOW,45,"Signal=neutral, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1}, first_segment=(EXECUTIVE) And in this regard, good preparedness, high level of attention on the corporate side, and in my view a first class portfolio on...",ours_correct_finbert_wrong
223,"So, lots of good engagements going on with customers overall, and I think the key is to be able to have the right IP building blocks.","So, lots of good engagements going on with customers overall, and I think the key is to be able to have the right IP building blocks.",neutral,growth,neutral,positive,85.3043,100.0,NEUTRAL,LOW,45,"Signal=neutral, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1}, first_segment=(EXECUTIVE) So, lots of good engagements going on with customers overall, and I think the key is to be able to have the right IP building b...",ours_correct_finbert_wrong
226,"Are you able to employ them at a better cost base, I guess?","Are you able to employ them at a better cost base, I guess?",risk,growth,neutral,positive,56.5321,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(CFO) Are you able to employ them at a better cost base, I guess.",disagreement_other
